symbol,name,security_type,currency,sector,low_52_week,high_52_week,yield,avg_volume,company_ceo,company_debt,company_earnings_growth,company_gross_profit_margin,description,eps,inception_year,industry_name,market_cap,number_of_employees,pe_ratio,total_assets,primary_exchange,amount
ABRA,Abrasilver Resource Corp,EQUITY,CAD,,0.315,0.82,0.0,519121.2105,John Miniotis,0.0283,-44.086,0.0,"AbraSilver Resource Corp. engages in the acquisition, exploration, and development of mineral resource properties in Argentina. Its projects include Diablillos, Arcas Copper, La Coipita, Santo Domingo, and Aguas Perdidas. The company was founded on August 31, 1993 and is headquartered in Vancouver, CA.",-0.0268,1993.0,Precious Metals,189.891,0.0,0.0,38.8349,TSX-V,0.4025
ABRT,Albert Labs International Corp,EQUITY,CAD,,0.25,0.25,0.0,0.0,Navchand Jagpal,0.0,-64.5522,0.0,"ME Resource Corp. engages in the acquisition, exploration, and development of natural resources, including, mineral, oil, and gas properties. It also intends to acquire undervalued natural resource properties and apply these new technologies to increase the resource property's valuations. The company was founded on October 16, 2009 and is headquartered in Surrey, Canada.",-0.0441,2009.0,Oil And Gas Production,1.5918,0.0,0.0,0.0,CSE,0.2500
ABST,Absolute Software Corp,EQUITY,CAD,"Software, Internet, Technology",9.16,19.9,0.03,220272.2105,Christy Wyatt,353.6087,-222.6333,73.7776,"Absolute Software Corp. engages in the provision of cloud-based service that supports the management and security of computing devices, applications, and data for a variety of organizations. Its solutions includes education, financial services, general date protection regulations (GDPR) compliance, government, healthcare, professional services, and technology solutions such as Absolute for Android, and Absolute for Chromebook. The company was founded on November 24, 1993 and is headquartered in Vancouver, Canada.",-0.3381,1993.0,Packaged Software,538.437,535.0,0.0,681.5086,TSX,10.6700
ABTC,Accelerate Carbon Negative Bitcoin ETF,EQUITY,CAD,,3.35,6.9,0.0,3550.0526,0,0.0,0.0,0.0,0,0.0,0.0,Investment Trusts Or Mutual Funds,0.0,0.0,0.0,0.0,TSX,3.8900
ABX,Barrick Gold Corp.,EQUITY,CAD,,22.3,33.5,0.015,5272393.5263,"Dennis Mark Bristow, PhD",6505.2225,-18.173,30.447,"Barrick Gold Corp. engages in the production and sale of gold and copper, as well as related activities such as exploration and mine development. It operates through the following segments: Barrick Nevada, Veladero, Pueblo Viejo, Lagunas Norte, Turquoise Ridge, Acacia, and Pascua-Lama. The company was founded by Peter D. Munk in 1983 and is headquartered in Toronto, Canada.",1.4269,1983.0,Precious Metals,55248.1965,0.0,21.76,59229.1035,TSX,31.0500
ABXX,Abaxx Technologies Inc,EQUITY,CAD,,1.93,4.5,0.0,61059.95,Joshua Dale Crumb,0.0,0.0,0.0,"Abaxx Technologies, Inc. development-stage financial technology company, which develops software tools that enable commodity traders and finance professionals to communicate trade and transact faster and more securely. Its software technologies include deep learning and natural language processing (DL/NPL), self-sovereign digital identity (SSI), encrypted content-addressing distributed file systems, smart contracting languages and protocols, and decentralized datastore technology (DDS). The company was founded by Joshua Dale Crumb and Andrew Fedak on January 25, 2018 and is headquartered in Toronto, Canada.",-0.2777,2018.0,Steel,143.4632,0.0,0.0,31.9505,AEQUITAS NEO EXCHANGE,2.0200
AC,Air Canada Inc.,EQUITY,CAD,,19.31,31.0,0.0,3873596.8947,"Michael Stewart Rousseau, CPA",16523.0,37.826,5.0207,"Air Canada provides airline transportation services. It engages in full-service airline, scheduled passenger and cargo services, serving more than two hundred airports on six continents. It operates through the following geographical segments: Canada, U.S. Transborder, Atlantic, Pacific, and Other. The company was founded on April 11, 1936 and is headquartered in Saint-Laurent, Canada.",-10.3396,1946.0,Airlines,7395.886,0.0,0.0,30614.0,TSX,20.4900
ACB,Aurora Cannabis Inc,EQUITY,CAD,Cannabis,4.01,14.2,0.0,1778604.3158,Miguel Martin,414.451,90.6774,-37.7104,"Aurora Cannabis, Inc. engages in the production, distribution and sale of cannabis products. It also produces and sells indoor cultivation systems and hemp related food products. The company was founded by Terry Booth and Steve Dobler on December 21, 2006 and is headquartered in Edmonton, Canada.",-1.9284,2006.0,Agricultural Commodities Or Milling,865.5352,1761.0,0.0,2485.384,TSX,4.0300
ACD,Accord Financial Corp.,EQUITY,CAD,,6.23,9.2,0.0253,2987.7895,"Simon Hitzig, MBA",346.5615,697.2588,98.2144,"Accord Financial Corp. is a holding company, which engages in the provision of asset-based financial services to industrial and commercial enterprises. The firm operates through Canada and United States segments. Its services include asset-based lending, factoring, accounts receivable management, international trade financing, credit protection, credit investigation, and leasing. The company was founded by Ken Hitzig in 1978 and is headquartered in Toronto, Canada.",1.3913,1978.0,Finance Or Rental Or Leasing,76.0031,103.0,7.84,462.0564,TSX,8.8800
ACME,ACME Lithium Inc,EQUITY,CAD,,0.31,1.34,0.0,88793.4737,Steve Hanson,0.0,-411.6438,0.0,"ACME Lithium, Inc. is a junior mineral exploration company, which engages in the business of acquiring, exploring and evaluating natural resource properties. The company has interest in the FLV Claims in Esmeralda County, Nevada, which are prospective for lithium contained in tertiary claystones. Its project locations include: Clayton Valley and Fish Lake Valley. The company was founded on January 31, 2017 and is headquartered in Vancouver, Canada.",-0.0455,2017.0,Other Metals Or Minerals,49.8126,0.0,0.0,4.9823,CSE,1.1700
ACO.X,Atco Ltd. (Class I),EQUITY,CAD,"Energy, Oil and Gas, Utilities",39.97,46.19,0.0426,245524.0526,Nancy C. Southern,10151.0,-2.2283,40.8069,"ATCO Ltd. engages in the structures and logistics, utilities and ports & transportation logistics business. It operates through the following segments: Structures & Logistics, Electricity, Pipelines & Liquids, Neltume Ports and Corporate & Other. The Structures & Logistics segment provides workforce housing, innovative modular facilities, construction, site support services, and logistics and operations management. The Electricity segment includes ATCO Structures & Logistics. This company offers workforce housing, modular facilities, site support services and logistics and operations management. The Pipelines & Liquids segment includes ATCO Gas, ATCO Pipelines, ATCO Gas Australia, and ATCO Energy Solutions. These businesses provide integrated natural gas transmission, distribution and storage, industrial water solutions and related infrastructure development throughout Alberta, the Lloydminster area of Saskatchewan, Western Australia and Mexico. The Corporate & Other segment includes commercial real estate owned by the company in Alberta and ATCO Energy, a retail electricity and natural gas business in Alberta. The Neltume Ports segment includes the equity interest in Neltume Ports S.A., a port operator and developer in South America. The company was founded by S. D. Southern and Ronald D. Southern on February 14, 1947 and is headquartered in Calgary, Canada.",2.1544,1947.0,Electric Utilities,4852.2965,6400.0,19.69,23004.0,TSX,42.4200
ACO.Y,Atco Ltd. (Class I),EQUITY,CAD,,40.0,46.5,0.0411,327.5789,Nancy C. Southern,10151.0,-2.2283,40.8069,"ATCO Ltd. engages in the structures and logistics, utilities and ports & transportation logistics business. It operates through the following segments: Structures & Logistics, Electricity, Pipelines & Liquids, Neltume Ports and Corporate & Other. The Structures & Logistics segment provides workforce housing, innovative modular facilities, construction, site support services, and logistics and operations management. The Electricity segment includes ATCO Structures & Logistics. This company offers workforce housing, modular facilities, site support services and logistics and operations management. The Pipelines & Liquids segment includes ATCO Gas, ATCO Pipelines, ATCO Gas Australia, and ATCO Energy Solutions. These businesses provide integrated natural gas transmission, distribution and storage, industrial water solutions and related infrastructure development throughout Alberta, the Lloydminster area of Saskatchewan, Western Australia and Mexico. The Corporate & Other segment includes commercial real estate owned by the company in Alberta and ATCO Energy, a retail electricity and natural gas business in Alberta. The Neltume Ports segment includes the equity interest in Neltume Ports S.A., a port operator and developer in South America. The company was founded by S. D. Southern and Ronald D. Southern on February 14, 1947 and is headquartered in Calgary, Canada.",2.1544,1947.0,Electric Utilities,5026.1648,6400.0,20.4,23004.0,TSX,43.9400
ACOG,Alpha Cognition Inc,EQUITY,CAD,,0.75,2.49,0.0,8849.7368,Michael E. McFadden,1.2386,-980.0668,0.0,"Alpha Cognition, Inc. is a clinical stage biopharmaceutical company that develops treatments for underserved neurodegenerative diseases such as Alzheimer's Dementia and Amyotrophic Lateral Sclerosis (ALS). The company was founded in 2000 and is headquartered in Vancouver, Canada.",-0.9699,2000.0,Pharmaceuticals Major,14.1524,19.0,0.0,10.3431,TSX-V,1.0300
ACOP,Atacama Copper Corporation,EQUITY,CAD,,0.32,0.65,0.0,3422.8421,Gino Zandonai,0.0,0.0,0.0,"Atacama Copper Corp. engages in the acquisition, exploration, and development of mineral properties in Chile. The company was founded on April 8, 2020 and is headquartered in Calgary, Canada.",-0.1445,2020.0,Other Metals Or Minerals,12.2025,0.0,0.0,12.1536,TSX-V,0.3550
ACQ,AutoCanada Inc,EQUITY,CAD,"Transportation, Automotive",26.8,59.26,0.0,113017.0,"Steven J. Landry, MBA",1447.286,2442.8072,7.1997,"AutoCanada, Inc. engages in the operation of franchised automobile dealerships. It operates through the Canada and United States geographical segment. The firm offers a range of automotive products and services, including new and used vehicles, vehicle maintenance, and collision repair services, extended service contracts, and vehicle protection products. The company was founded by Patrick J. Priestner on January 4, 2006 and is headquartered in Edmonton, Canada.",6.0257,2006.0,Specialty Stores,837.7117,0.0,5.06,2258.673,TSX,30.4700
ACST,Acasti Pharma Inc (Class A),EQUITY,CAD,,1.29,7.76,0.0,5512.2632,Janelle D'Alvise,0.0278,85.7755,-410.2041,"Acasti Pharma, Inc. is a biopharmaceutical company, which engages in the development and commercialization of pharmaceutical applications of its licensed rights for cardiovascular diseases. It focuses on the research of prescription drugs using omega-3, fatty acids derived from krill oil. The company was founded by Henri Harland and Pierre Lemieux on February 1, 2002 and is headquartered in Laval, Canada.",-0.1262,2002.0,Pharmaceuticals Other,57.1318,0.0,0.0,144.2858,TSX-V,1.2900
ACT,Aduro Clean Technologies Inc,EQUITY,CAD,,0.59,1.3,0.0,57075.0,"Ofer Vicus, EMBA",0.6347,-985.6481,12.9159,"Aduro Clean Technologies, Inc. manufactures oils and specialty chemicals using waste plastics. It focuses on versatile Hydrochemolytic technology to transform post-consumer polymer waste into a resource for the circular economy. The company develops a novel chemical conversion process to transform waste plastics and low grade renewable oils into renewable fuels and specialty chemicals. Aduro Clean Technologies was founded on January 10, 2018 by Ofer Vicus and William Marcus Trygstad and is headquartered in Sarnia, Canada.",-0.2345,2018.0,Chemicals Specialty,27.3695,0.0,0.0,2.4511,CSE,0.6900
ACU,Aurora Solar Technologies Inc,EQUITY,CAD,,0.085,0.425,0.0,218702.7368,Gordon Deans,0.2581,-95.7447,30.6713,"Aurora Solar Technologies, Inc. provides inline measurement, visualization and control systems for the photovoltaic product manufacturing industry. Its technology improves solar cell efficiency and profitability during manufacturing. The company was founded by Stephen Blaine, Gordon Deans, and Edwin Michael Heaven on October 26, 2006 and is headquartered in North Vancouver, Canada.",-0.0368,2006.0,Electronic Equipment Or Instruments,12.4417,0.0,0.0,4.2579,TSX-V,0.0950
AD.UN,Alaris Equity Partners Income Trust,EQUITY,CAD,,15.15,20.45,0.0646,133591.0526,"Stephen Walter King, CFA",416.661,511.8678,0.0,"Alaris Equity Partners Income Trust provides alternative financing to private companies. The company was founded on May 31, 2020 and is headquartered in Calgary, Canada.",3.2543,0.0,Investment Managers,893.7499,16.0,6.44,1275.209,TSX,19.8100
ADCO,Adcore Inc,EQUITY,CAD,,0.46,2.15,0.0,29476.2105,Omri Brill,0.0659,-146.1153,50.8974,"Adcore, Inc. is a global advertising technology company. It engages in the provision of search engine marketing software-as-a-service solutions and services to scale via automation and machine learning technologies. Its solutions empower digital advertisers with automated solutions to enhance and maximize search engine marketing. The company's technologies are designed for in-house marketing professionals, freelancers and advertising agencies. Adcore was founded by Omri Brill in July 2006 and is headquartered in Tel Aviv, Israel.",-0.0184,2006.0,Packaged Software,31.1059,38.0,0.0,22.0774,TSX,0.4900
ADD,Arctic Star Exploration Corp,EQUITY,CAD,,0.05,0.29,0.0,315175.1579,Patrick Edward Power,0.0,36.3636,0.0,"Arctic Star Exploration Corp. engages in the acquisition, exploration, and development of mineral properties. Its projects include Timantti Diamond, Diagras Diamond, Stein Diamond, and Redemption Diamond projects. The company was founded on January 5, 2001 and is headquartered in Vancouver, Canada.",-0.0294,2001.0,Other Metals Or Minerals,10.0718,0.0,0.0,8.1572,TSX-V,0.0850
ADE,Adex Mining Inc.,EQUITY,CAD,,0.01,0.025,0.0,12226.1579,Kwan Linda Lam,3.6107,23.0769,0.0,"Adex Mining, Inc. engages in the development of potential polymetallic mine focusing on tin, indium, zinc, molybdenum and tungsten. Its projects include Fire Tower Zone, the North Zone, and the Saddle Zone. The company was founded by William B. Burton on December 31, 1992 and is headquartered in Toronto, Canada.",-0.001,1992.0,Other Metals Or Minerals,10.1582,0.0,0.0,1.8151,TSX-V,0.0150
ADK,Diagnos Inc.,EQUITY,CAD,,0.235,0.65,0.0,92105.1053,André M. Larente,0.5305,26.4,-46.3611,"Diagnos, Inc. engages in the provision of healthcare technical services through the use of artificial intelligence (AI). The company offers algorithm development, data analysis, and image processing services. It focuses on the development of its AI tool, Computer Assisted Retina Analysis, which is a tele-ophthalmology platform that integrates with existing equipment and processes at the point of care. The company was founded by Djamel Abdelkader Zighed in 1998 and is headquartered in Brossard, Canada.",-0.0368,1998.0,Information Technology Services,16.0552,0.0,0.0,1.0857,TSX-V,0.2350
ADN,Acadian Timber Corp,EQUITY,CAD,"Manufacturing, Machinery, Materials",17.52,21.57,0.0592,7529.4737,Adam Sheparski,100.888,-15.3794,32.1118,"Acadian Timber Corp. engages in the operation of timberland and supplies forest products. It operates through the following segments: New Brunswick Timberlands and Maine Timberlands. The firm owns and manages freehold timberlands in New Brunswick & Maine and provides timber services relating to timberlands in New Brunswick. Its products include softwood and hardwood sawlogs, pulpwood, and biomass by-products. The company was founded on December 15, 2005 and is headquartered in Edmundston, Canada.",1.1197,2005.0,Forest Products,327.2301,0.0,17.51,516.642,TSX,19.6100
ADW.A,Andrew Peller Limited (Class A),EQUITY,CAD,"Food, Alcohol and Tobacco, Consumer Products",7.03,11.6,0.0333,55163.2105,John E. Peller,196.807,-59.6683,35.7911,"Andrew Peller Ltd. engages in the production and marketing of wines and spirits products. Its brands include Peller Estates, Sandhill, Trius Winery, Wayne Gretzky Estates, Red Rooster Winery, Calona Vineyards, Black Hills Estate, Gray Monk Estate Winery, Tinhorn Creek Vineyards, Thirty Bench Wine Makers, Roundpetal, The Wine Shop, Wine Country Vintners, Vineco, and Winexpert. The company was founded by Andrew Peller in 1961 and is headquartered in Grimsby, Canada.",0.3137,1961.0,Beverages Alcoholic,308.421,1592.0,23.05,546.291,TSX,7.2300
ADW.B,Andrew Peller Limited (Class B),EQUITY,CAD,"Food, Alcohol and Tobacco, Consumer Products",8.8,14.68,0.0217,372.6842,John E. Peller,196.807,-62.3496,35.7911,"Andrew Peller Ltd. engages in the production and marketing of wines and spirits products. Its brands include Peller Estates, Sandhill, Trius Winery, Wayne Gretzky Estates, Red Rooster Winery, Calona Vineyards, Black Hills Estate, Gray Monk Estate Winery, Tinhorn Creek Vineyards, Thirty Bench Wine Makers, Roundpetal, The Wine Shop, Wine Country Vintners, Vineco, and Winexpert. The company was founded by Andrew Peller in 1961 and is headquartered in Grimsby, Canada.",0.3137,1961.0,Beverages Alcoholic,411.2279,1592.0,30.73,546.291,TSX,9.6400
ADZN,Adventus Mining Corporation,EQUITY,CAD,,0.705,1.28,0.0,228078.0,Christian Kargl-Simard,0.0,119.2982,0.0,"Adventus Mining Corp. engages in the exploration and development of mineral properties in Ecuador, Canada, and Ireland. The firm explores for gold, silver, zinc, copper, and lead deposits. Its principal property is the Curipamba project located in Ecuador. The company was founded on October 24, 2016 and is headquartered in Toronto, Canada.",0.011,2016.0,Other Metals Or Minerals,104.9128,0.0,72.73,87.5723,TSX-V,0.8000
AE,American Eagle Gold Corp.,EQUITY,CAD,,0.1,0.395,0.0,30862.4737,"Anthony Moreau, CFA",0.0,0.0,0.0,"American Eagle Gold Corp. engages in the gold exploration activities. It is a precious metals and precious stones dealer. The company was incorporated on June 22, 2018 and is headquartered in Toronto, Canada.",0.0,0.0,Precious Metals,6.2651,0.0,0.0,2.556,TSX-V,0.1100
AEG,Aegis Brands Inc.,EQUITY,CAD,,0.7,1.6,0.0,1987.4737,Steve Pelton,6.903,-1226.9461,15.4765,"Aegis Brands, Inc. is a consolidator of brands in the food, beverage and cannabis spaces. The firm's brands include Bridgehead Coffee and Hemisphere Cannabis. The company was founded in 1975 and is headquartered in Mississauga, Canada.",0.0,1975.0,Restaurants,16.337,238.0,0.0,23.325,TSX,0.7100
AEM,Agnico Eagle Mines Ltd,EQUITY,CAD,"Mining, Materials",58.02,89.95,0.0233,2393343.2632,"Ammar Al-Joundi, MBA",2143.131,-1.2019,24.7966,"Agnico Eagle Mines Ltd. engages in the exploration and production of gold. It operates through the following segments: Northern Business, Southern Business, and Exploration. The Northern Business segment comprises of LaRonde mine, LaRonde Zone 5 mine, Lapa mine, Goldex mine, Meadowbank mine including the Amaruq deposit, Canadian Malartic joint operation, Meliadine project and Kittila mine. The Southern Business segment consists of Pinos Altos mine, Creston Mascota mine, and La India mine. The Exploration segment represents the exploration offices in the United States, Europe, Canada, and Latin America. The company was founded by Paul Penna in 1957 and is headquartered in Toronto, Canada.",2.7785,1957.0,Precious Metals,19006.756,11421.0,28.15,12867.4261,TSX,78.2200
AEP,Atlas Engineered Products Ltd,EQUITY,CAD,"Manufacturing, Machinery, Materials",0.26,0.72,0.0,161654.6842,Mohammad Hadi Abassi,8.924,433.3333,8.9546,"Atlas Engineered Products Ltd. engages in the manufacture and sale of roof & floor trusses, wall panels and windows. It also distributes I-joists and engineered beams for use by builders of residential and commercial wood framed buildings such as single family homes, townhouses, multi-story wood-framed residential and commercial buildings and agricultural structures. The company was founded by Mohammad Hadi Abassi on January 18, 1999 and is headquartered in Nanaimo, Canada.",0.084,1999.0,Forest Products,34.6354,0.0,7.14,34.3971,TSX-V,0.6000
AEX,AEX Gold Inc,EQUITY,CAD,,0.435,0.65,0.0,17231.6842,Eldur Ólafsson,0.7807,-13.6268,0.0,"AEX Gold, Inc. engages in the acquisition, exploration, and development of mineral properties. Its project portfolio includes the Nalunaq, Vagar, Naalagaaffiup Portornga, Nuna Nutaaq, Saarloq, Anoritooq, and Tartoq properties. The company was founded by Eldur Olafsson on February 22, 2017 and is headquartered in Toronto, Canada.",-0.1084,2017.0,Precious Metals,92.0915,0.0,0.0,54.3076,TSX-V,0.5200
AEZS,Aeterna Zentaris,EQUITY,CAD,"Manufacturing, Healthcare, Biotechnology",0.38,2.18,0.0,40182.0526,"Klaus Wolfgang Paulini, PhD",0.2534,65.833,28.6247,"Æterna Zentaris, Inc. operates as a specialty biopharmaceutical company commercializing and developing therapeutics and diagnostic tests. Its product Macimorelin, is an oral growth hormone secretagogue receptor agonist indicated for the diagnosis of Adult Growth Hormone Deficiency. The company was founded on September 12, 1990 and is headquartered in Charleston, SC.",-0.0847,1990.0,Biotechnology,51.5937,11.0,0.0,103.9349,TSX,0.4250
AFCC.H,Automotive Finco Corp,EQUITY,CAD,Finance,1.6,2.25,0.1052,7618.1053,"Kuldeep Billan, CFA",0.0,41.4365,87.5341,"Automotive Finco Corp. is finance company focused exclusively on the auto retail sector. Its services include long term, debt based acquisition financing to auto dealerships across the globe,The company was founded on December 5, 1986 and is headquartered in Toronto, Canada.",-0.0636,1986.0,Finance Or Rental Or Leasing,45.0875,0.0,0.0,29.0553,TSX-V,1.9500
AFD,Ansar Financial and Development Corp,EQUITY,CAD,,0.1,0.55,0.0,721.0526,Pervez Nasim,0.0,233.3333,0.0,"Ansar Financial & Development Corp. engages in the provision of real estate services. Its properties include Bighill, Strathmore-3b, Cochrane, Strathmore Commercial, and Condo unit. The company was founded on January 29, 2008 and is headquartered in Scarborough, Canada.",0.0012,2008.0,Real Estate Development,6.0416,0.0,325.0,16.5075,CSE,0.3900
AFE,Africa Energy Corp,EQUITY,CAD,,0.21,0.34,0.0,76212.3158,"Garrett Soden, MBA",0.0114,43.0556,0.0,"Africa Energy Corp. engages in the acquisition, exploration, and production of oil and gas properties. The firm builds a portfolio of exploration and production assets in Namibia and South Africa. The company was founded on April 27, 2010 and is headquartered in Vancouver, Canada.",-0.0041,2010.0,Oil And Gas Production,335.0856,0.0,0.0,304.6787,TSX-V,0.2400
AFI,Affinor Growers Inc,EQUITY,CAD,,0.025,0.075,0.0,459765.3158,Nicholas G. Brusatore,0.1013,-8.1081,-4005.3155,"Affinor Growers, Inc. engages in the acquisition and commercialization of vertical farming technology and proprietary process. It focuses on growing strawberries and other crops such as romaine lettuce and kale in North America. The company was founded on August 27, 1996 and is headquartered in Langley, Canada.",-0.004,1996.0,Agricultural Commodities Or Milling,8.8586,0.0,0.0,1.8466,CSE,0.0400
AFM,Alphamin Resources Corp,EQUITY,CAD,,0.53,1.21,0.0,672129.1579,Maritz B. Smith,26.8183,560.9091,39.5915,"Alphamin Resources Corp. engages in the business of acquisition, exploration, and development of mineral resource properties. It holds interest in the Bisie Tin project. The company was founded on August 12, 1981 and is headquartered in Grand Baie, Mauritius.",0.0507,1981.0,Other Metals Or Minerals,1443.0654,0.0,23.47,531.9755,TSX-V,1.1900
AFN,Ag Growth International Inc,EQUITY,CAD,"Manufacturing, Machinery, Engineering",25.85,48.47,0.0154,84159.1053,"Tim Close, CFA",898.915,117.0906,27.0395,"Ag Growth International, Inc. engages in the manufacture of agricultural equipment. It operates through the following geographical segments: Canada, United States, and International. Its product portfolio include portable and permanent handling, storage, conditioning, structures, processing, and technology. The company was founded by Gary Anderson, Art Stenson, and Robert Allan Stenson in 1996 and is headquartered in Winnipeg, Canada.",0.5637,1996.0,Industrial Machinery,730.2196,0.0,68.96,1593.654,TSX,38.8700
AGC,Amarillo Gold Corporation.,EQUITY,CAD,,0.2,0.43,0.0,529768.0,"Michael A. Mutchler, MBA",1.2233,-3.0769,0.0,"Amarillo Gold Corp. engages in the acquisition, discovery, and development of gold resources in Brazil. Its projects include Mara Rosa and Lavras do Sul. The company was founded by Bruce Bragagnolo on January 19, 1983 and is headquartered in Toronto, Canada.",-0.0134,1983.0,Precious Metals,82.3042,0.0,0.0,90.303,TSX-V,0.4300
AGF.B,AGF Management Ltd. (Class B),EQUITY,CAD,Finance,6.8,8.52,0.0485,106286.8947,"Kevin Andrew McCreadie, CFA, MBA",84.629,-75.2204,58.4804,"AGF Management Ltd. is a diversified global asset management firm. It offers investment solutions to a wide range of clients, from individual investors and financial advisors to institutions, including pension plans, corporate plans, sovereign wealth funds, endowments, and foundations. The firm provides investment management with operations and investments in North America, Europe, and Asia. Its products include a diversified mutual funds, mutual fund wrap programs, and pooled funds. The company was founded by C. Warren Goldring and Allan Manford in 1957 and is headquartered in Toronto, Canada.",0.5622,1957.0,Investment Managers,504.8045,0.0,12.82,1359.365,TSX,7.2100
